modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6906536697247706;19
RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6113451277730975;20
RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7076479076479076;13
RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6877866972477065;19
RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5987082280258355;20
RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7189033189033189;13
RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.674598623853211;19
RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6068520078629599;20
RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7096681096681097;13
RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6906536697247706;19
RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.631283347374333;20
RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7111111111111111;13
RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6906536697247706;19
RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6113451277730975;20
RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7076479076479076;13
RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6877866972477065;19
RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.603201347935973;20
RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7168831168831169;13
RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6662844036697247;19
RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6026397079472059;20
RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7157287157287158;13
RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6780389908256881;19
RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6163998876720023;20
RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7113997113997114;13
RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6852064220183486;19
RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.611625947767481;20
RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7177489177489178;13
RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6909403669724771;19
RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6096602078067959;20
RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7064935064935065;13
RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.669151376146789;19
RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6093793878124123;20
RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7145743145743145;13
RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6811926605504587;19
