coorte;modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5774038461538461;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.547962226640159;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.655819774718398;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.59375;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5606361829025845;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6553191489361702;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6067307692307692;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5422465208747514;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6670838548185232;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5704326923076923;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5648608349900597;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6668335419274093;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5798076923076924;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.547962226640159;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.655819774718398;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.59375;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5606361829025845;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6553191489361702;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6067307692307692;9
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5586888406845023;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.555260361317747;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5535103865369445;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5755603759942155;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5603081827842721;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5448330265579805;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6008676789587852;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5448990435706695;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5653431501446227;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5880935165100024;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5454303931987248;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5619247962135157;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5639913232104121;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5419766206163655;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5532474362345516;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5709809592672933;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5693411264612115;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5466736786747305;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6008676789587852;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5448990435706695;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5653431501446227;3
LUSC;RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5880935165100024;8
LUSC;RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5454303931987248;13
LUSC;RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5619247962135157;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5798987707881417;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5446333687566419;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5635024980278728;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5729091347312606;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5528692879914984;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5429923744412306;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5955651964328754;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5446333687566419;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5742834604259794;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5907447577729573;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5470244420828906;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5645542992374442;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5813449023861171;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5448990435706695;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5592952931895872;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5709809592672933;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5619022316684378;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.540625821719695;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5955651964328754;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5446333687566419;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5742834604259794;3
LUSC;RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5907447577729573;8
LUSC;RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5470244420828906;13
LUSC;RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5645542992374442;3
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6546355272469923;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.594946209657243;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5454545454545454;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6562868601085161;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5984488366274706;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5399449035812672;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6798773295588583;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5836877658243683;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5355371900826447;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6591177164425572;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5896922692019014;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5363636363636364;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6541637178579853;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5961971478608957;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5336088154269972;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6772823779193206;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5846885163872905;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5242424242424243;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6798773295588583;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5836877658243683;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5355371900826447;15
LUSC;RSF;3;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6591177164425572;7
LUSC;RSF;3;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5896922692019014;12
LUSC;RSF;3;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5363636363636364;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6704411417787214;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5861896422316738;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5396694214876033;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6579381929700401;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5991993995496623;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5446280991735537;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6756310450577967;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5844383287465599;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5421487603305785;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6553432413305025;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5891918939204404;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5443526170798898;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6635999056381222;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5891918939204404;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5410468319559228;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6631280962491154;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5951963972979735;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5391184573002755;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6756310450577967;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5844383287465599;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5421487603305785;15
LUSC;RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6553432413305025;7
LUSC;RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5891918939204404;12
LUSC;RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5443526170798898;15
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.607650555699147;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5112469437652811;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5548268625393494;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6053243732230551;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5129584352078239;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5443336831059811;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5965365727578186;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5117359413202934;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5729275970619098;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5807702248643061;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5273838630806846;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5647953830010494;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6097182734556733;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.511002444987775;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.55299055613851;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5789609718273455;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5200488997555012;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5474816369359916;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5965365727578186;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5117359413202934;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5729275970619098;9
LUSC;RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5807702248643061;8
LUSC;RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5273838630806846;4
LUSC;RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5647953830010494;9
LUSC;RSF;4;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6079090204187129;8
LUSC;RSF;4;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5095354523227383;4
